,date,text,compound
19,2018-07-05,"Car Review: 2018 Tesla Model 3 There have been reports of quality issues with the Model 3 ... to wake up when the throttle is pressed, this little Tesla surges ahead on an instant and silent wave of torque from any speed. You want ...",0.0772
17,2018-07-06,"Tyler Perry Gifts Tiffany Haddish Brand New Tesla Tyler Perry tapped into his inner Oprah Winfrey and bought Tiffany Haddish a new whip. The Girls Trip breakthrough star was talking about purchasing the Tesla Model X, but she didn’t have time in her ...",0.0
18,2018-07-06,Legendary car designer Henrik Fisker to unveil Tesla rival Tesla rival coming soon from legendary car designer Henrik Fisker.,0.0
14,2018-07-09,"Sol-Ark 8K 48V Inverter Efficiency tops Tesla, Outback, Magnum, Pika, Solar Edge Off-Grid Features Reduce Battery Size: Since we have such a large customer base that lives Off Grid, we incorporated programmable smart loads for running A/C and hot water on solar power instead of ...",0.8176
15,2018-07-09,"Sol-Ark 8K 48V Inverter Efficiency tops Tesla, Outback, Magnum, Pika, Solar Edge That is unbelievably high while using affordable 48V external batteries ... have been invited to present their new design methodology at Intersolar 2018 and Solar Power International 2018. See a side ...",0.7003
10,2018-07-10,"11 Best Bro Tanks: The Ultimate List (2018) It’s also got a big UV ray protector factor, with UPF 50+. As shown in the black and red (or, what Tesla so conveniently ... For a pair of Adidas shorts, check the Men’s Essentials 3-Stripe ...",0.6369
11,2018-07-10,"The unofficial getting started guide to Tesla’s Model 3 From this point forward, you just walk up to the car and open the door. The car won’t look like it’s unlocked ... If you can’t get the warning to go away, just gentle wiggle the wheel. If you don’t ...",0.4588
12,2018-07-10,"Electric car start-up boss is willing to bet his entire fortune on beating Tesla Buy an island in the Caribbean? If you’re He Xiaopeng ... Group and bet it on a car start-up to upend the likes of General Motors, Volkswagen and Tesla. It seemed so much of a long shot that his wife ...",-0.0516
13,2018-07-10,"Tesla will build its 1st factory outside US in Shanghai “The tariffs may have accelerated their plans for sure, but longer term they need a presence in the largest auto market globally,” said Cowen analyst Jeffrey Osborne ... AP Business Writer David ...",0.1655
29,2018-07-11,"A brief history of Tesla and the number 500,000 In 2007, JP Morgan pegged annual hybrid ... It seems to be a magical market of non-fossil fuel scale. In 2008, Honda said it wanted to get to 500,000 hybrid sales some time soon after 2010. The ...",0.4278
28,2018-07-12,"Hell for Elon Musk Is a Midsize Sedan The chief executive of Tesla Inc. had been camping out at his electric ... The story of Tesla’s sprint to release the Model 3, based on interviews with 20 members of Tesla’s design and engineering ...",-0.6808
27,2018-07-13,"2020 Porsche Taycan Electric Car Takes Aim at Tesla The all-new, all-electric 2020 Porsche Taycan was unveiled this week, offering a first look at the production sedan that promises the power, performance, and range to rival the Tesla Model S ... that ...",0.3818
22,2018-07-16,"Debunking Nikola Tesla's Electric Car he was a pioneer in the discovery of radar, X-ray technology and remote control; and he teamed with George Westinghouse to build the world's first large-scale AC power plant.",0.0
21,2018-07-16,"This Is What a Tesla Model 3 Can Do On-Track With Performance Upgrades To address this, Mountainpass Performance designed suspension and brake kits to improve the Model 3's performance ... Tires alone improved this to 1:24.3, and the full package dropped the time to 1:21 ...",0.6124
20,2018-07-17,"Here's How Much One of Tesla's Amazing Solar Roofs Actually Costs The Tesla Solar roof looks pretty sweet, in the words of Elon Musk ... For materials alone, I was looking at $75 to $85 per square. Thompson yelled to Ricky, Fresno Roofing’s field director, for a ...",0.8402
39,2018-07-23,"Elon Musk, artist settle copyright disagreement over tooting unicorn coffee mug PALO ALTO, Calif. — Tesla and SpaceX CEO Elon Musk and an artist have settled a row over a farting unicorn. Musk in February tweeted a photo of a mug made by Colorado potter Tom Edwards that showed a ...",-0.3612
38,2018-07-23,"Elon Musk, artist settle copyright disagreement over tooting unicorn coffee mug PALO ALTO, Calif. — Tesla and SpaceX CEO Elon Musk and an artist have settled a row over a farting unicorn. Musk in February tweeted a photo of a mug made by Colorado potter Tom Edwards that showed a ...",-0.3612
37,2018-07-23,"Tesla Model S recognized, Hyundai Sonata PHEV pricing, and electric car feature poll: Today's Car News The price dropped on the 2018 Hyundai Sonata Plug-In. We ask what readers wish their electric car could do. And what changes are coming for California's carpool lane stickers? All of this and more on ...",0.4019
36,2018-07-23,"2018 Tesla Model 3 Performance first drive review: The future, quicker The first thing you notice about the Tesla ... Model 3 -- though Tesla notes the quicker, all-wheel-drive car retains a 50/50 weight balance. The Performance's ride quality feels remarkably similar to ...",0.0
35,2018-07-23,Tesla says supplier discount request was for ongoing projects Cowen analyst Jeffrey Osborne told Reuters that Tesla's supplier explanation ... (Reporting by Vibhuti Sharma in Bengaluru; Writing by Alexandria Sage in San Francisco; editing by Patrick Graham and ...,0.0
34,2018-07-23,Tesla says supplier discount request was for ongoing projects Cowen analyst Jeffrey Osborne told Reuters that Tesla’s supplier explanation ... Reporting by Vibhuti Sharma in Bengaluru; Writing by Alexandria Sage in San Francisco; editing by Patrick Graham and ...,0.0
32,2018-07-24,"Nomad launches iPhone-optimized wireless charger for Tesla Model 3 an iPhone can just be placed there and be charged at 7.5W. Nomad isn't the only one on the market with a wireless charger for the Tesla Model 3, there is also the Jeda charger, though it doesn't look ...",-0.2023
